Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
3597,1/1/2018,EV,4078,ORD,PNS,113,794,8:45,8,72,0
3830,1/1/2018,EV,4382,ORD,FSD,73,462,8:58,8,-5,0
3866,1/1/2018,EV,4425,ORD,BNA,61,409,8:23,8,37,0
4786,1/1/2018,MQ,3498,ORD,MDT,77,594,8:23,8,-2,0
4809,1/1/2018,MQ,3520,ORD,SDF,47,286,8:19,8,-1,0
4858,1/1/2018,MQ,3562,ORD,TOL,35,213,8:44,8,9,0
4894,1/1/2018,MQ,3590,ORD,GRR,32,137,8:31,8,1,0
4936,1/1/2018,MQ,3627,ORD,TVC,46,224,8:37,8,2,0
5024,1/1/2018,MQ,3267,ORD,ROC,71,528,8:28,8,-2,0
5037,1/1/2018,MQ,3277,ORD,BNA,60,409,8:55,8,0,0
5173,1/1/2018,MQ,3403,ORD,RST,52,268,8:20,8,0,0
5261,1/1/2018,MQ,3478,ORD,CMI,25,135,8:47,8,2,0
5377,1/1/2018,MQ,3802,ORD,IND,30,177,8:40,8,5,0
5602,1/1/2018,NK,761,ORD,MSP,58,334,8:45,8,-10,0
5631,1/1/2018,NK,815,ORD,MSY,113,837,8:06,8,-4,0
6641,1/1/2018,OO,2936,ORD,FWA,34,157,8:40,8,-4,0
6653,1/1/2018,OO,2946,ORD,BMI,25,116,8:47,8,-4,0
6681,1/1/2018,OO,2972,ORD,RIC,87,642,8:34,8,14,0
6814,1/1/2018,OO,3113,ORD,MKE,18,67,8:47,8,-3,0
6840,1/1/2018,OO,3139,ORD,TYS,64,475,8:53,8,18,0
6853,1/1/2018,OO,3149,ORD,CLE,55,316,8:51,8,-9,0
6856,1/1/2018,OO,3151,ORD,FNT,44,223,8:24,8,-1,0
7571,1/1/2018,OO,5066,ORD,CKB,63,444,8:54,8,1009,0
7765,1/1/2018,OO,5305,ORD,FCA,215,1352,8:54,8,-1,0
7909,1/1/2018,OO,5456,ORD,SYR,80,607,8:03,8,93,0
8167,1/1/2018,OO,5814,ORD,BOI,230,1437,8:50,8,-5,0
8230,1/1/2018,OO,5928,ORD,ASE,154,1013,8:23,8,38,0
8409,1/1/2018,VX,1231,ORD,LAX,243,1744,8:18,8,18,0
13484,1/1/2018,YX,3676,ORD,MEM,77,491,8:21,8,-4,0
13521,1/1/2018,YX,3724,ORD,LGA,91,733,8:45,8,45,0
14366,1/1/2018,AA,2357,ORD,PIT,60,413,8:53,8,8,0
15019,1/1/2018,AA,2745,ORD,CLT,80,599,8:56,8,-4,0
15319,1/1/2018,AA,395,ORD,SJU,231,2072,8:26,8,-4,0
15522,1/1/2018,AA,1578,ORD,LAX,231,1744,8:51,8,-4,0
15547,1/1/2018,AA,1602,ORD,DCA,80,612,8:21,8,-4,0
15740,1/1/2018,AA,1243,ORD,LAX,238,1744,8:14,8,54,0
15742,1/1/2018,AA,1244,ORD,DTW,45,235,8:43,8,-2,0
15747,1/1/2018,AA,1252,ORD,RDU,81,646,8:24,8,4,0
15855,1/1/2018,AA,1377,ORD,MIA,159,1197,8:43,8,-2,0
15863,1/1/2018,AA,1388,ORD,ATL,86,606,8:47,8,3,0
16051,1/1/2018,AA,2586,ORD,BOS,107,867,8:50,8,0,0
85,1/1/2018,UA,2133,ORD,LAS,207,1514,9:15,9,5,0
216,1/1/2018,UA,1990,ORD,BZN,172,1185,9:05,9,0,0
536,1/1/2018,UA,1590,ORD,SAN,232,1723,9:20,9,0,0
788,1/1/2018,UA,1116,ORD,MCO,129,1005,9:57,9,-3,0
792,1/1/2018,UA,1112,ORD,SNA,234,1726,9:49,9,14,0
803,1/1/2018,UA,1100,ORD,SJC,253,1829,9:14,9,4,0
860,1/1/2018,UA,927,ORD,LAX,233,1744,9:00,9,30,0
985,1/1/2018,UA,725,ORD,PHX,202,1440,9:22,9,-3,0
1082,1/1/2018,UA,635,ORD,SEA,233,1721,9:52,9,37,0
1111,1/1/2018,UA,605,ORD,DEN,124,888,9:01,9,-4,0
1126,1/1/2018,UA,589,ORD,IAH,135,925,9:39,9,14,0
1149,1/1/2018,UA,569,ORD,PDX,245,1739,9:04,9,-2,0
1190,1/1/2018,UA,531,ORD,LAX,236,1744,9:54,9,-1,0
1261,1/1/2018,UA,470,ORD,SFO,235,1846,9:50,9,40,0
1551,1/1/2018,UA,219,ORD,HNL,517,4243,9:37,9,2,0
1696,1/1/2018,AS,139,ORD,ANC,388,2846,9:58,9,8,0
2981,1/1/2018,B6,1012,ORD,BOS,102,867,9:50,9,10,0
3553,1/1/2018,EV,4018,ORD,SBN,27,84,9:24,9,1,0
3604,1/1/2018,EV,4095,ORD,DSM,69,299,9:17,9,-8,0
3636,1/1/2018,EV,4140,ORD,LIT,82,552,9:32,9,0,0
4837,1/1/2018,MQ,3541,ORD,CWA,44,213,9:53,9,-2,0
4853,1/1/2018,MQ,3558,ORD,GRB,33,173,9:45,9,65,0
4975,1/1/2018,MQ,3657,ORD,JAX,114,864,9:49,9,4,0
5100,1/1/2018,MQ,3333,ORD,IND,32,177,9:57,9,-3,0
5136,1/1/2018,MQ,3365,ORD,BUF,62,474,9:07,9,22,0
5169,1/1/2018,MQ,3397,ORD,BWI,87,622,9:14,9,-1,0
5248,1/1/2018,MQ,3467,ORD,AZO,30,122,9:03,9,23,0
5364,1/1/2018,MQ,3792,ORD,BOI,207,1437,9:50,9,0,0
5390,1/1/2018,MQ,3812,ORD,OKC,99,693,9:49,9,-1,0
5865,1/1/2018,NK,357,ORD,LAS,205,1514,9:14,9,-5,0
6800,1/1/2018,OO,3099,ORD,CID,37,196,9:51,9,-3,0
6805,1/1/2018,OO,3102,ORD,HDN,147,1009,9:47,9,-3,0
6883,1/1/2018,OO,3179,ORD,TUL,89,585,9:53,9,3,0
6892,1/1/2018,OO,3187,ORD,MSN,24,108,9:17,9,43,0
7182,1/1/2018,OO,4526,ORD,DTW,52,235,9:16,9,26,0
7729,1/1/2018,OO,5268,ORD,PSP,226,1651,9:40,9,30,0
7793,1/1/2018,OO,5334,ORD,CHS,98,760,9:31,9,111,0
7914,1/1/2018,OO,5461,ORD,AUS,140,977,9:45,9,45,0
13353,1/1/2018,YX,3519,ORD,CVG,42,264,9:12,9,87,0
13390,1/1/2018,YX,3563,ORD,MSP,57,334,9:03,9,-2,0
13452,1/1/2018,YX,3641,ORD,LGA,91,733,9:02,9,2,0
13453,1/1/2018,YX,3642,ORD,SAT,146,1041,9:07,9,3,0
13454,1/1/2018,YX,3643,ORD,OMA,65,416,9:15,9,6,0
14668,1/1/2018,AA,1057,ORD,PHX,205,1440,9:25,9,40,0
14694,1/1/2018,AA,1092,ORD,SJC,256,1829,9:56,9,1,0
15080,1/1/2018,AA,53,ORD,TPA,136,1012,9:22,9,47,0
15498,1/1/2018,AA,1557,ORD,DFW,105,802,9:56,9,77,0
15682,1/1/2018,AA,1191,ORD,EWR,96,719,9:00,9,20,0
15729,1/1/2018,AA,1232,ORD,SNA,246,1726,9:33,9,-7,0
15818,1/1/2018,AA,1333,ORD,MCO,130,1005,9:00,9,10,0
15820,1/1/2018,AA,1336,ORD,DFW,116,802,9:38,9,-2,0
15870,1/1/2018,AA,2412,ORD,EGE,143,1007,9:29,9,16,0
15907,1/1/2018,AA,2450,ORD,AUS,139,977,9:51,9,-4,0
16035,1/1/2018,AA,2569,ORD,JAC,173,1162,9:51,9,1,0
16077,1/1/2018,AA,2618,ORD,ORF,98,717,9:39,9,889,0
16939,1/1/2018,DL,1477,ORD,ATL,82,606,9:14,9,-1,0
101,1/1/2018,UA,2116,ORD,IAH,135,925,10:25,10,0,0
148,1/1/2018,UA,2066,ORD,FLL,171,1182,10:40,10,-2,0
180,1/1/2018,UA,2032,ORD,SRQ,136,1050,10:40,10,10,0
206,1/1/2018,UA,2001,ORD,LAX,235,1744,10:44,10,104,0
691,1/1/2018,UA,1237,ORD,MIA,156,1197,10:41,10,0,0
905,1/1/2018,UA,806,ORD,DEN,125,888,10:28,10,-2,0
909,1/1/2018,UA,795,ORD,IAD,77,588,10:38,10,-2,0
928,1/1/2018,UA,776,ORD,MCO,130,1005,10:59,10,-4,0
1154,1/1/2018,UA,566,ORD,RSW,147,1120,10:58,10,-2,0
2211,1/1/2018,9E,3998,ORD,JFK,94,740,10:01,10,1,0
2933,1/1/2018,B6,906,ORD,JFK,96,740,10:42,10,-1,0
3466,1/1/2018,EV,3914,ORD,MSN,29,108,10:38,10,93,0
3535,1/1/2018,EV,3994,ORD,BTV,101,763,10:17,10,45,0
3590,1/1/2018,EV,4069,ORD,DAY,42,240,10:26,10,-4,0
3858,1/1/2018,EV,4418,ORD,CLE,51,316,10:33,10,-7,0
4804,1/1/2018,MQ,3513,ORD,ABQ,162,1118,10:13,10,-2,0
4959,1/1/2018,MQ,3645,ORD,ELP,156,1236,10:14,10,-1,0
4964,1/1/2018,MQ,3651,ORD,SYR,83,607,10:44,10,144,0
4966,1/1/2018,MQ,3652,ORD,RAP,157,779,10:27,10,17,0
4980,1/1/2018,MQ,3660,ORD,FAR,87,557,10:01,10,-4,0
5098,1/1/2018,MQ,3332,ORD,GRR,,137,10:00,10,140,1
5137,1/1/2018,MQ,3366,ORD,STL,45,258,10:19,10,-1,0
5163,1/1/2018,MQ,3389,ORD,IAH,140,925,10:22,10,12,0
5185,1/1/2018,MQ,3410,ORD,GRR,35,137,10:22,10,17,0
5200,1/1/2018,MQ,3419,ORD,FSD,68,462,10:13,10,-2,0
5202,1/1/2018,MQ,3420,ORD,COU,51,315,10:18,10,-7,0
5299,1/1/2018,MQ,3731,ORD,SGF,68,438,10:03,10,-2,0
5324,1/1/2018,MQ,3749,ORD,EWR,105,719,10:52,10,32,0
5340,1/1/2018,MQ,3767,ORD,DBQ,30,147,10:03,10,-2,0
5385,1/1/2018,MQ,3808,ORD,MEM,72,491,10:33,10,23,0
5409,1/1/2018,MQ,3835,ORD,LIT,80,552,10:00,10,-3,0
5501,1/1/2018,NK,563,ORD,SAN,246,1723,10:21,10,-9,0
5756,1/1/2018,NK,179,ORD,PBI,154,1144,10:53,10,38,0
6837,1/1/2018,OO,3135,ORD,MCI,65,403,10:33,10,23,0
6839,1/1/2018,OO,3138,ORD,COS,133,911,10:26,10,6,0
7539,1/1/2018,OO,5030,ORD,DLH,62,397,10:54,10,110,0
7815,1/1/2018,OO,5360,ORD,TUS,196,1437,10:38,10,79,0
7819,1/1/2018,OO,5364,ORD,LGA,97,733,10:58,10,-2,0
8134,1/1/2018,OO,5748,ORD,LEX,49,323,10:29,10,-1,0
13446,1/1/2018,YX,3635,ORD,PIT,63,413,10:43,10,11,0
13464,1/1/2018,YX,3654,ORD,SYR,82,607,10:30,10,-3,0
13504,1/1/2018,YX,3701,ORD,EYW,159,1251,10:39,10,6,0
13611,1/1/2018,YX,5968,ORD,LGA,95,733,10:45,10,15,0
13841,1/1/2018,AA,603,ORD,PHX,205,1440,10:30,10,0,0
14307,1/1/2018,AA,2300,ORD,DEN,142,888,10:16,10,16,0
14312,1/1/2018,AA,2307,ORD,PSP,227,1651,10:18,10,-2,0
14765,1/1/2018,AA,1951,ORD,PHX,195,1440,10:14,10,19,0
15262,1/1/2018,AA,326,ORD,CLT,79,599,10:23,10,-2,0
15288,1/1/2018,AA,350,ORD,LGA,103,733,10:37,10,7,0
15456,1/1/2018,AA,1507,ORD,TUS,199,1437,10:07,10,-3,0
15735,1/1/2018,AA,1239,ORD,SEA,240,1721,10:22,10,-3,0
15911,1/1/2018,AA,2455,ORD,MSP,66,334,10:12,10,-3,0
15927,1/1/2018,AA,2470,ORD,LAS,207,1514,10:52,10,42,0
15987,1/1/2018,AA,2526,ORD,DFW,115,802,10:23,10,-2,0
1079,1/1/2018,UA,638,ORD,PHL,88,678,11:00,11,0,0
1530,1/1/2018,UA,238,ORD,JAC,169,1162,11:32,11,146,0
1553,1/1/2018,UA,217,ORD,DFW,114,802,11:48,11,173,0
1569,1/1/2018,UA,206,ORD,MCO,126,1005,11:52,11,218,0
1573,1/1/2018,UA,202,ORD,OGG,518,4184,11:26,11,86,0
5003,1/1/2018,MQ,3679,ORD,OMA,62,416,11:00,11,45,0
5083,1/1/2018,MQ,3318,ORD,MTJ,156,1081,11:34,11,44,0
5153,1/1/2018,MQ,3377,ORD,BWI,82,622,11:44,11,-1,0
5175,1/1/2018,MQ,3404,ORD,SUX,70,436,11:21,11,47,0
5192,1/1/2018,MQ,3415,ORD,CVG,42,264,11:12,11,152,0
5673,1/1/2018,NK,927,ORD,MCO,131,1005,11:06,11,-9,0
5794,1/1/2018,NK,224,ORD,LGA,91,733,11:23,11,330,0
6659,1/1/2018,OO,2952,ORD,DAY,40,240,11:31,11,184,0
6798,1/1/2018,OO,3098,ORD,ASE,162,1013,11:03,11,18,0
6872,1/1/2018,OO,3167,ORD,ATL,85,606,11:48,11,3,0
7527,1/1/2018,OO,5016,ORD,MKG,,118,11:07,11,216,1
7850,1/1/2018,OO,5396,ORD,CHS,102,760,11:32,11,62,0
7896,1/1/2018,OO,5443,ORD,ATL,88,606,11:23,11,69,0
7930,1/1/2018,OO,5481,ORD,LGA,93,733,11:36,11,96,0
8005,1/1/2018,OO,5570,ORD,CLE,,316,11:32,11,212,0
8146,1/1/2018,OO,5769,ORD,TUL,91,585,11:53,11,148,0
13540,1/1/2018,YX,3751,ORD,CLT,81,599,11:50,11,0,0
13545,1/1/2018,YX,5868,ORD,DTW,50,235,11:55,11,-5,0
15122,1/1/2018,AA,130,ORD,JFK,94,740,11:51,11,1,0
15140,1/1/2018,AA,157,ORD,LAX,242,1744,11:57,11,-3,0
15264,1/1/2018,AA,327,ORD,DCA,79,612,11:50,11,-5,0
15349,1/1/2018,AA,1394,ORD,SLC,181,1250,11:12,11,72,0
15514,1/1/2018,AA,1571,ORD,LAX,241,1744,11:00,11,60,0
15763,1/1/2018,AA,1272,ORD,DEN,132,888,11:59,11,4,0
15844,1/1/2018,AA,1364,ORD,PBI,157,1144,11:58,11,-2,0
16091,1/1/2018,AA,2634,ORD,RSW,149,1120,11:31,11,161,0
41,1/1/2018,UA,2381,ORD,SAN,230,1723,12:13,12,-2,0
202,1/1/2018,UA,2005,ORD,SMF,246,1781,12:25,12,3,0
268,1/1/2018,UA,1937,ORD,AUS,136,977,12:42,12,-1,0
378,1/1/2018,UA,1814,ORD,MSY,115,837,12:24,12,-3,0
584,1/1/2018,UA,1510,ORD,EWR,91,719,12:29,12,114,0
704,1/1/2018,UA,1226,ORD,DFW,116,802,12:14,12,-4,0
930,1/1/2018,UA,775,ORD,DEN,128,888,12:28,12,13,0
1173,1/1/2018,UA,549,ORD,PDX,239,1739,12:15,12,0,0
1203,1/1/2018,UA,521,ORD,SLC,180,1250,12:37,12,-2,0
1207,1/1/2018,UA,519,ORD,LAS,205,1514,12:23,12,-5,0
1252,1/1/2018,UA,480,ORD,SAT,146,1041,12:30,12,-5,0
1270,1/1/2018,UA,463,ORD,LAX,232,1744,12:19,12,4,0
1376,1/1/2018,UA,373,ORD,PHX,195,1440,12:15,12,0,0
1447,1/1/2018,UA,310,ORD,LAX,236,1744,12:21,12,-1,0
1526,1/1/2018,UA,241,ORD,SEA,241,1721,12:13,12,-2,0
3500,1/1/2018,EV,3948,ORD,BHM,79,584,12:39,12,14,0
3753,1/1/2018,EV,4273,ORD,TUL,96,585,12:39,12,4,0
4792,1/1/2018,MQ,3502,ORD,EVV,42,272,12:33,12,23,0
4801,1/1/2018,MQ,3512,ORD,TUL,89,585,12:36,12,36,0
4873,1/1/2018,MQ,3573,ORD,PIT,63,413,12:51,12,41,0
4901,1/1/2018,MQ,3596,ORD,SDF,50,286,12:46,12,31,0
4912,1/1/2018,MQ,3606,ORD,PVD,101,849,12:54,12,29,0
4985,1/1/2018,MQ,3663,ORD,ALO,42,234,12:01,12,16,0
5064,1/1/2018,MQ,3304,ORD,ROC,71,528,12:35,12,35,0
5214,1/1/2018,MQ,3435,ORD,MCI,63,403,12:26,12,21,0
5366,1/1/2018,MQ,3793,ORD,BHM,78,584,12:53,12,38,0
5373,1/1/2018,MQ,3799,ORD,BNA,63,409,12:32,12,27,0
5426,1/1/2018,MQ,3919,ORD,ATW,32,160,12:05,12,10,0
5924,1/1/2018,NK,478,ORD,DEN,134,888,12:44,12,39,0
6632,1/1/2018,OO,2930,ORD,IND,35,177,12:21,12,31,0
6657,1/1/2018,OO,2950,ORD,CHA,66,501,12:05,12,12,0
6694,1/1/2018,OO,2981,ORD,BUF,68,474,12:46,12,57,0
6744,1/1/2018,OO,3038,ORD,CAK,56,343,12:36,12,24,0
6802,1/1/2018,OO,3100,ORD,GRR,31,137,12:51,12,56,0
6812,1/1/2018,OO,3111,ORD,CHO,76,566,12:21,12,28,0
6887,1/1/2018,OO,3181,ORD,CLE,53,316,12:42,12,28,0
6898,1/1/2018,OO,3191,ORD,BIS,105,716,12:58,12,37,0
6899,1/1/2018,OO,3193,ORD,SYR,78,607,12:13,12,27,0
7637,1/1/2018,OO,5168,ORD,DLH,66,397,12:15,12,-5,0
7777,1/1/2018,OO,5318,ORD,FSD,80,462,12:19,12,-1,0
8054,1/1/2018,OO,5636,ORD,LGA,92,733,12:04,12,-3,0
8183,1/1/2018,OO,5839,ORD,ASE,154,1013,12:41,12,221,0
8237,1/1/2018,OO,5940,ORD,ATL,83,606,12:44,12,224,0
13317,1/1/2018,YX,3481,ORD,COS,129,911,12:55,12,37,0
13400,1/1/2018,YX,3578,ORD,OKC,103,693,12:18,12,-5,0
13409,1/1/2018,YX,3589,ORD,DCA,82,612,12:01,12,-4,0
14202,1/1/2018,AA,2198,ORD,MCO,135,1005,12:14,12,-1,0
14341,1/1/2018,AA,2334,ORD,DFW,112,802,12:38,12,58,0
14494,1/1/2018,AA,748,ORD,CLT,83,599,12:06,12,-2,0
14659,1/1/2018,AA,1047,ORD,SFO,250,1846,12:20,12,-4,0
15159,1/1/2018,AA,186,ORD,LGA,97,733,12:33,12,3,0
15237,1/1/2018,AA,300,ORD,LAS,208,1514,12:18,12,1,0
15272,1/1/2018,AA,334,ORD,MIA,155,1197,12:35,12,35,0
15364,1/1/2018,AA,1409,ORD,MSP,59,334,12:12,12,7,0
15605,1/1/2018,AA,1651,ORD,PHL,95,678,12:05,12,10,0
15634,1/1/2018,AA,1133,ORD,DTW,46,235,12:18,12,-3,0
15756,1/1/2018,AA,1267,ORD,RSW,148,1120,12:26,12,21,0
15799,1/1/2018,AA,1310,ORD,MSY,114,837,12:03,12,18,0
15812,1/1/2018,AA,1326,ORD,BOS,106,867,12:49,12,49,0
15841,1/1/2018,AA,1361,ORD,BDL,96,783,12:24,12,4,0
16078,1/1/2018,AA,2619,ORD,TPA,131,1012,12:03,12,-7,0
36,1/1/2018,UA,2386,ORD,RSW,142,1120,13:48,13,-2,0
143,1/1/2018,UA,2071,ORD,DEN,131,888,13:42,13,-3,0
901,1/1/2018,UA,810,ORD,SFO,249,1846,13:15,13,3,0
1049,1/1/2018,UA,664,ORD,PHL,97,678,13:56,13,-4,0
1136,1/1/2018,UA,580,ORD,LAX,227,1744,13:55,13,-4,0
1220,1/1/2018,UA,509,ORD,LGA,95,733,13:55,13,-5,0
1232,1/1/2018,UA,498,ORD,IAD,84,588,13:28,13,-2,0
1288,1/1/2018,UA,449,ORD,ATL,90,606,13:47,13,-5,0
1310,1/1/2018,UA,432,ORD,MCO,128,1005,13:59,13,-1,0
1546,1/1/2018,UA,222,ORD,SFO,241,1846,13:57,13,-3,0
2225,1/1/2018,9E,4014,ORD,MSP,58,334,13:08,13,23,0
2311,1/1/2018,9E,3285,ORD,ATL,81,606,13:20,13,65,0
3521,1/1/2018,EV,3974,ORD,GSP,75,577,13:47,13,-3,0
3573,1/1/2018,EV,4046,ORD,PVD,116,849,13:50,13,5,0
3760,1/1/2018,EV,4282,ORD,BTV,100,763,13:57,13,-3,0
3864,1/1/2018,EV,4423,ORD,FNT,41,223,13:51,13,-4,0
3875,1/1/2018,EV,4444,ORD,XNA,78,522,13:15,13,46,0
4791,1/1/2018,MQ,3501,ORD,LAN,33,179,13:48,13,83,0
4881,1/1/2018,MQ,3578,ORD,IND,31,177,13:44,13,29,0
5057,1/1/2018,MQ,3297,ORD,HPN,101,738,13:03,13,33,0
5166,1/1/2018,MQ,3392,ORD,DSM,46,299,13:26,13,-1,0
5235,1/1/2018,MQ,3455,ORD,CMH,50,296,13:31,13,1,0
5252,1/1/2018,MQ,3470,ORD,CMH,46,296,13:39,13,84,0
5267,1/1/2018,MQ,3699,ORD,MSN,27,108,13:34,13,5,0
5295,1/1/2018,MQ,3724,ORD,CVG,45,264,13:10,13,20,0
5306,1/1/2018,MQ,3735,ORD,ELP,164,1236,13:45,13,10,0
5433,1/1/2018,MQ,3923,ORD,GSO,77,589,13:41,13,66,0
5486,1/1/2018,MQ,4071,ORD,CID,34,196,13:25,13,1,0
6239,1/1/2018,OH,5108,ORD,DSM,50,299,13:40,13,201,0
6771,1/1/2018,OO,3064,ORD,LSE,51,215,13:45,13,315,0
6795,1/1/2018,OO,3087,ORD,IAH,130,925,13:14,13,-1,0
6808,1/1/2018,OO,3105,ORD,MEM,83,491,13:24,13,-2,0
6861,1/1/2018,OO,3158,ORD,OMA,61,416,13:26,13,-4,0
7526,1/1/2018,OO,5012,ORD,MBS,47,222,13:45,13,-2,0
7576,1/1/2018,OO,5071,ORD,SPI,30,174,13:33,13,278,0
7869,1/1/2018,OO,5416,ORD,LGA,95,733,13:45,13,45,0
7937,1/1/2018,OO,5491,ORD,PIA,27,130,13:36,13,72,0
8016,1/1/2018,OO,5586,ORD,DCA,87,612,13:01,13,156,0
8040,1/1/2018,OO,5619,ORD,SYR,81,607,13:45,13,-2,0
8219,1/1/2018,OO,5901,ORD,OMA,67,416,13:49,13,74,0
8238,1/1/2018,OO,5941,ORD,ASE,170,1013,13:24,13,59,0
8247,1/1/2018,OO,5957,ORD,BNA,60,409,13:19,13,159,0
8403,1/1/2018,VX,1205,ORD,SFO,253,1846,13:38,13,-2,0
13365,1/1/2018,YX,3535,ORD,DCA,84,612,13:19,13,29,0
13438,1/1/2018,YX,3627,ORD,ORF,93,717,13:43,13,-2,0
14226,1/1/2018,AA,2223,ORD,LAX,241,1744,13:24,13,4,0
